MSID,MSName,ZSID,ZSName,Achse,HNr,Hoehe,EKoord,NKoord,Richtung,Knummer,Kname,AnzDetektoren,D1ID,D2ID,D3ID,D4ID,lon,lat
Z043M002,Unbekannt,Z043,Seilergraben (Mühlegasse),Seilergraben,Unbekannt,Mühlegasse,2683632.81,1247672.67,Central und Mühlegasse,323,Mühlegasse/Seilergraben,2,17,18,Unbekannt,Unbekannt,8.546007535300971,47.37458340324659
Z044M001,Unbekannt,Z044,Uraniastrasse (Bahnhofstrasse),Uraniastrasse,Unbekannt,vor Bahnhofstrasse,2683081.42,1247664.83,Sihlporte,332,Bahnhof-/Uraniastr,2,13,14,Unbekannt,Unbekannt,8.538706082943781,47.37458264791515
Z044M002,Unbekannt,Z044,Uraniastrasse (Bahnhofstrasse),Uraniastrasse,Unbekannt,ab Bahnhofstrasse,2683078.85,1247647.59,Brudolf-Brun-Brücke,332,Bahnhof-/Uraniastr,2,15,16,Unbekannt,Unbekannt,8.53866885821706,47.37442792621662
Z045M001,Unbekannt,Z045,Talstrasse (Pelikanstrasse),Talstrasse,Unbekannt,ab Pelikanstrasse,2682833.88,1247221.96,See,340,Pelikan-/Talstr (Schulweg),1,13,Unbekannt,Unbekannt,Unbekannt,8.535346883648968,47.37063091313491
Z045M002,Unbekannt,Z045,Talstrasse (Pelikanstrasse),Talstrasse,Unbekannt,vor Pelikanstrasse,2682837.98,1247228.78,Sihlporte,340,Pelikan-/Talstr (Schulweg),2,14,15,Unbekannt,Unbekannt,8.53540242259822,47.37069173265866
Z046M001,Unbekannt,Z046,Zeltweg (Merkurstrasse),Zeltweg,Unbekannt,Merkurstrasse,2684205.99,1246807.88,Kreuzplatz,504,Merkurstr/Zeltweg,1,17,Unbekannt,Unbekannt,Unbekannt,8.553433331074576,47.36673303829129
Z046M002,Unbekannt,Z046,Zeltweg (Merkurstrasse),Zeltweg,63,Unbekannt,2684191.84,1246842.02,Heimplatz,504,Merkurstr/Zeltweg,1,18,Unbekannt,Unbekannt,Unbekannt,8.553252443258863,47.36704187975657
Z047M001,Unbekannt,Z047,Hottingerstrasse (Freiestrasse),Hottingerstrasse,52,Unbekannt,2684393.48,1247079.64,Klusplatz,548,Freie-/Hottingerstr,1,15,Unbekannt,Unbekannt,Unbekannt,8.555966412934342,47.36915309123308
Z047M002,Unbekannt,Z047,Hottingerstrasse (Freiestrasse),Hottingerstrasse,52,Unbekannt,2684379.94,1247093.75,Heimplatz,548,Freie-/Hottingerstr,1,16,Unbekannt,Unbekannt,Unbekannt,8.555789831541052,47.36928172137393
Z048M001,Unbekannt,Z048,Rämistrasse (Stadelhoferstrasse),Rämistrasse,Unbekannt,ab Stadelhoferstrasse,2683669.44,1246937.44,Heimplatz,605,Rämi-/Stadelhoferstr,1,12,Unbekannt,Unbekannt,Unbekannt,8.546355072694055,47.36796655903057
